user,timestamp,week,day,hour,logged,episode,name,watchingTime,duration
0f165b85-0670-e6ac-bf14-cf00655a,17/04/20 23:48,14,17/04/20,23:48:54,FALSE,12,Ep.12,210,917
1882942b-e429-56c3-71d6-1fe03230,17/04/18 23:27,14,17/04/18,23:27:31,FALSE,1,Ep.1,104,419
22389fe9-1ac5-62e4-0f04-cb35cd64,17/04/17 12:26,14,17/04/17,12:26:04,FALSE,1,Ep.1,19,419
269144fa-ef0e-c81e-52ff-df9a348a,17/04/17 2:26,14,17/04/17,2:26:18,FALSE,9,Ep.9a,34,73
29162f05-0a33-4ebb-3768-95d33323,17/04/23 12:36,14,17/04/23,12:36:44,FALSE,1,Ep.1,401,419
2e038001-8a20-a71f-3756-2bec0966,17/04/23 21:42,14,17/04/23,21:42:04,FALSE,10,Ep.10,32,587
3469f507-2f62-0e43-70e8-0c4bc6e3,17/04/23 13:18,14,17/04/23,13:18:02,FALSE,2,Ep.2,465,481
3469f507-2f62-0e43-70e8-0c4bc6e3,17/04/23 13:30,14,17/04/23,13:30:02,FALSE,1,Ep.1,24,419
3469f507-2f62-0e43-70e8-0c4bc6e3,17/04/23 14:43,14,17/04/23,14:43:51,FALSE,4,Ep.4,250,599
3469f507-2f62-0e43-70e8-0c4bc6e3,17/04/23 15:12,14,17/04/23,15:12:29,FALSE,7,Ep.7,134,339
3469f507-2f62-0e43-70e8-0c4bc6e3,17/04/23 15:30,14,17/04/23,15:30:42,FALSE,9,Ep.9a,61,73
3bc92395-636f-14c6-d1f0-fe0f4de7,17/04/18 16:48,14,17/04/18,16:48:20,FALSE,1,Ep.1,77,419
66a8d045-4389-3b4f-12a1-77c3d5ba,17/04/21 21:26,14,17/04/21,21:26:16,FALSE,13,Ep.13a,31,47
66a8d045-4389-3b4f-12a1-77c3d5ba,17/04/21 21:27,14,17/04/21,21:27:08,FALSE,13,Ep.13b,644,817
6ba67821-cac2-1015-fa83-7a8546b6,17/04/21 14:52,14,17/04/21,14:52:30,FALSE,1,Ep.1,110,419
6ba67821-cac2-1015-fa83-7a8546b6,17/04/21 15:06,14,17/04/21,15:06:42,FALSE,3,Ep.3,142,596
6ba67821-cac2-1015-fa83-7a8546b6,17/04/21 17:35,14,17/04/21,17:35:55,FALSE,8,Ep.8,98,702
6ba67821-cac2-1015-fa83-7a8546b6,17/04/21 17:38,14,17/04/21,17:38:59,FALSE,10,Ep.10,22,587
6ba67821-cac2-1015-fa83-7a8546b6,17/04/21 17:40,14,17/04/21,17:40:04,FALSE,11,Ep.11,22,590
6ba67821-cac2-1015-fa83-7a8546b6,17/04/21 17:41,14,17/04/21,17:41:17,FALSE,12,Ep.12,21,917
6ba67821-cac2-1015-fa83-7a8546b6,17/04/23 21:05,14,17/04/23,21:05:44,FALSE,2,Ep.2,115,481
6cc32d51-8893-3a50-daea-e8b8d6ce,17/04/18 14:10,14,17/04/18,14:10:49,FALSE,12,Ep.12,107,917
779169af-244a-9f51-c385-90823cf4,17/04/19 18:55,14,17/04/19,18:55:13,FALSE,6,Ep.6,583,697
8095dea5-2414-2dd8-96a5-94762161,17/04/19 8:58,14,17/04/19,8:58:08,FALSE,4,Ep.4,392,599
8095dea5-2414-2dd8-96a5-94762161,17/04/19 10:19,14,17/04/19,10:19:16,FALSE,2,Ep.2,13,481
8095dea5-2414-2dd8-96a5-94762161,17/04/19 10:20,14,17/04/19,10:20:25,FALSE,4,Ep.4,66,599
8095dea5-2414-2dd8-96a5-94762161,17/04/19 10:23,14,17/04/19,10:23:08,FALSE,5,Ep.5,43,550
8095dea5-2414-2dd8-96a5-94762161,17/04/19 10:33,14,17/04/19,10:33:09,FALSE,6,Ep.6,102,697
8095dea5-2414-2dd8-96a5-94762161,17/04/19 15:11,14,17/04/19,15:11:39,FALSE,1,Ep.1,15,419
8c7bdf99-8cda-02c4-7ccf-ad45ef8a,17/04/17 21:00,14,17/04/17,21:00:53,FALSE,3,Ep.3,532,596
8e1c1901-e507-78e9-de9c-be4db5c2,17/04/18 15:26,14,17/04/18,15:26:48,FALSE,8,Ep.8,93,702
91d6f21c-db33-6d47-43d0-fe9ee9dc,17/04/19 13:45,14,17/04/19,13:45:20,FALSE,1,Ep.1,10,419
921196a3-13fa-e4ce-3af8-6cbdc712,17/04/22 9:44,14,17/04/22,9:44:02,FALSE,7,Ep.7,220,339
921196a3-13fa-e4ce-3af8-6cbdc712,17/04/22 12:24,14,17/04/22,12:24:48,FALSE,3,Ep.3,534,596
921196a3-13fa-e4ce-3af8-6cbdc712,17/04/22 12:36,14,17/04/22,12:36:16,FALSE,11,Ep.11,274,590
921196a3-13fa-e4ce-3af8-6cbdc712,17/04/22 12:41,14,17/04/22,12:41:38,FALSE,12,Ep.12,710,917
a161542c-0ccc-f8b7-f947-d918b391,17/04/21 22:26,14,17/04/21,22:26:24,FALSE,13,Ep.13a,3,47
a161542c-0ccc-f8b7-f947-d918b391,17/04/21 22:26,14,17/04/21,22:26:45,FALSE,13,Ep.13b,3,817
a2ea73c1-00a9-83a3-b940-0f36c0aa,17/04/19 11:57,14,17/04/19,11:57:23,FALSE,1,Ep.1,79,419
alexhana,17/04/17 1:42,14,17/04/17,1:42:43,TRUE,10,Ep.10,23,587
alexhana,17/04/17 1:44,14,17/04/17,1:44:54,TRUE,11,Ep.11,5,590
alexhana,17/04/17 3:16,14,17/04/17,3:16:41,TRUE,13,Ep.13a,6,47
alexhana,17/04/17 3:17,14,17/04/17,3:17:10,TRUE,13,Ep.13b,66,817
AndrejaBorut,17/04/18 13:05,14,17/04/18,13:05:57,TRUE,13,Ep.13a,37,47
Annie Cornu,17/04/19 17:36,14,17/04/19,17:36:36,TRUE,7,Ep.7,337,339
b50274e3-6f5f-56e5-9886-52bdbce1,17/04/23 12:55,14,17/04/23,12:55:09,FALSE,11,Ep.11,22,590
b748d650-68aa-f272-45b9-6a405d4a,17/04/19 19:49,14,17/04/19,19:49:01,FALSE,10,Ep.10,63,587
baya,17/04/19 10:27,14,17/04/19,10:27:22,TRUE,10,Ep.10,27,587
baya,17/04/19 10:28,14,17/04/19,10:28:57,TRUE,11,Ep.11,553,590
bdb2553b-bfb0-cb12-f02a-f77ed729,17/04/18 18:53,14,17/04/18,18:53:52,FALSE,1,Ep.1,347,419
Bogdan,17/04/18 21:39,14,17/04/18,21:39:15,TRUE,11,Ep.11,19,590
BORIS MREVLJE,17/04/18 18:15,14,17/04/18,18:15:38,TRUE,1,Ep.1,21,419
c166ccd6-ee89-5d2b-1228-22948a13,17/04/19 10:13,14,17/04/19,10:13:23,FALSE,12,Ep.12,20,917
c9d7bd24-7b6f-90d4-3a74-89d0ad70,17/04/18 0:33,14,17/04/18,0:33:17,FALSE,12,Ep.12,678,917
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 15:28,14,17/04/21,15:28:59,FALSE,2,Ep.2,309,481
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 15:35,14,17/04/21,15:35:41,FALSE,1,Ep.1,320,419
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 15:43,14,17/04/21,15:43:04,FALSE,3,Ep.3,196,596
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 15:50,14,17/04/21,15:50:10,FALSE,4,Ep.4,324,599
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 15:57,14,17/04/21,15:57:59,FALSE,5,Ep.5,422,550
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 16:06,14,17/04/21,16:06:08,FALSE,6,Ep.6,546,697
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 16:24,14,17/04/21,16:24:30,FALSE,8,Ep.8,638,702
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 16:36,14,17/04/21,16:36:07,FALSE,9,Ep.9b,324,564
cd63ab01-8f40-afeb-0b3d-ca6de10f,17/04/21 16:41,14,17/04/21,16:41:57,FALSE,10,Ep.10,546,587
d1e8e974-c079-a48c-f236-a821b56b,17/04/22 9:26,14,17/04/22,9:26:15,FALSE,1,Ep.1,35,419
d4633269-2239-ba9e-dabe-0d9c8ace,17/04/18 21:05,14,17/04/18,21:05:42,FALSE,9,Ep.9b,56,564
d4633269-2239-ba9e-dabe-0d9c8ace,17/04/18 21:08,14,17/04/18,21:08:18,FALSE,8,Ep.8,115,702
d5e52e20-758d-84fb-027d-a9ee92c2,17/04/22 17:47,14,17/04/22,17:47:37,FALSE,2,Ep.2,426,481
d9158985-8dd8-6854-bf33-0163c3a3,17/04/18 14:13,14,17/04/18,14:13:41,FALSE,1,Ep.1,1,419
dae1faef-5a40-27d3-a33a-7c504aeb,17/04/17 1:17,14,17/04/17,1:17:12,FALSE,1,Ep.1,92,419
Darko Babić,17/04/19 10:36,14,17/04/19,10:36:06,TRUE,12,Ep.12,24,917
e19d3194-0235-9bb0-6979-e4472914,17/04/19 11:05,14,17/04/19,11:05:44,FALSE,1,Ep.1,40,419
e3485d79-4f92-1fff-4e64-56943e9b,17/04/23 15:47,14,17/04/23,15:47:56,FALSE,1,Ep.1,39,419
ef41223d-f80f-838d-f944-d7c278c7,17/04/18 13:18,14,17/04/18,13:18:56,FALSE,6,Ep.6,161,697
Efa i Neno,17/04/17 12:21,14,17/04/17,12:21:13,TRUE,13,Ep.13a,47,47
Emilija Vraber,17/04/18 11:14,14,17/04/18,11:14:31,TRUE,11,Ep.11,45,590
Emilija Vraber,17/04/18 11:16,14,17/04/18,11:16:01,TRUE,12,Ep.12,160,917
Emilija Vraber,17/04/18 11:20,14,17/04/18,11:20:39,TRUE,10,Ep.10,34,587
Emilija Vraber,17/04/18 11:23,14,17/04/18,11:23:20,TRUE,9,Ep.9b,37,564
f72d48d4-92db-8835-cb62-f03e8401,17/04/21 20:33,14,17/04/21,20:33:31,FALSE,1,Ep.1,301,419
fafdae1e-54f2-a9b8-c30e-8937d649,17/04/20 13:18,14,17/04/20,13:18:55,FALSE,13,Ep.13b,762,817
fbdc0185-e4e5-4390-14d3-a2c73d09,17/04/19 20:13,14,17/04/19,20:13:09,FALSE,1,Ep.1,249,419
fcb83a6e-9298-b96c-29e5-c217b27f,17/04/17 15:41,14,17/04/17,15:41:04,FALSE,11,Ep.11,46,590
fcb83a6e-9298-b96c-29e5-c217b27f,17/04/17 15:44,14,17/04/17,15:44:40,FALSE,12,Ep.12,449,917
fda6cda9-1ce6-bf7c-24df-43156329,17/04/17 12:48,14,17/04/17,12:48:01,FALSE,13,Ep.13b,182,817
Grup amor,17/04/18 21:39,14,17/04/18,21:39:19,TRUE,7,Ep.7,10,339
Grup amor,17/04/18 21:59,14,17/04/18,21:59:58,TRUE,12,Ep.12,121,917
Jan-61,17/04/18 13:03,14,17/04/18,13:03:56,TRUE,13,Ep.13a,16,47
Jerinho12,17/04/18 8:15,14,17/04/18,8:15:54,TRUE,9,Ep.9a,10,73
jernej,17/04/18 10:03,14,17/04/18,10:03:48,TRUE,1,Ep.1,25,419
Jožko,17/04/18 7:56,14,17/04/18,7:56:26,TRUE,2,Ep.2,287,481
Jožko,17/04/18 8:01,14,17/04/18,8:01:25,TRUE,1,Ep.1,46,419
Jolanda,17/04/17 23:25,14,17/04/17,23:25:47,TRUE,9,Ep.9a,7,73
jurel73,17/04/18 0:12,14,17/04/18,0:12:50,TRUE,1,Ep.1,11,419
LadyBug,17/04/20 13:09,14,17/04/20,13:09:55,TRUE,13,Ep.13b,815,817
ljubica basic,17/04/18 12:15,14,17/04/18,12:15:03,TRUE,10,Ep.10,31,587
ljubica basic,17/04/18 12:22,14,17/04/18,12:22:43,TRUE,12,Ep.12,847,917
Maria,17/04/18 21:26,14,17/04/18,21:26:44,TRUE,12,Ep.12,12,917
MarjanMornar,17/04/19 14:46,14,17/04/19,14:46:40,TRUE,1,Ep.1,278,419
matejugov,17/04/18 14:21,14,17/04/18,14:21:52,TRUE,1,Ep.1,21,419
Matija Osterc,17/04/19 0:35,14,17/04/19,0:35:32,TRUE,13,Ep.13a,10,47
Matija Osterc,17/04/19 0:35,14,17/04/19,0:35:50,TRUE,13,Ep.13b,2,817
Matija Turkalj,17/04/20 7:46,14,17/04/20,7:46:55,TRUE,1,Ep.1,11,419
Matjaz,17/04/18 7:59,14,17/04/18,7:59:02,TRUE,8,Ep.8,19,702
Mauro,17/04/18 20:37,14,17/04/18,20:37:07,TRUE,13,Ep.13b,773,817
Mauro,17/04/20 20:34,14,17/04/20,20:34:49,TRUE,10,Ep.10,28,587
Mauro,17/04/20 21:02,14,17/04/20,21:02:10,TRUE,13,Ep.13a,8,47
Mauro,17/04/20 21:02,14,17/04/20,21:02:59,TRUE,13,Ep.13b,18,817
MedoPiki,17/04/19 13:29,14,17/04/19,13:29:43,TRUE,1,Ep.1,104,419
MedoPiki,17/04/19 13:57,14,17/04/19,13:57:47,TRUE,4,Ep.4,587,599
MedoPiki,17/04/19 14:24,14,17/04/19,14:24:09,TRUE,5,Ep.5,498,550
MedoPiki,17/04/19 14:33,14,17/04/19,14:33:20,TRUE,6,Ep.6,681,697
MedoPiki,17/04/19 14:45,14,17/04/19,14:45:25,TRUE,7,Ep.7,25,339
MedoPiki,17/04/21 9:23,14,17/04/21,9:23:51,TRUE,1,Ep.1,11,419
MedoPiki,17/04/21 10:54,14,17/04/21,10:54:33,TRUE,9,Ep.9b,14,564
MedoPiki,17/04/21 11:35,14,17/04/21,11:35:53,TRUE,9,Ep.9b,509,564
Milan Kuraš,17/04/23 16:15,14,17/04/23,16:15:23,TRUE,13,Ep.13b,172,817
Milan Kuraš,17/04/23 16:36,14,17/04/23,16:36:04,TRUE,1,Ep.1,41,419
Milan Kuraš,17/04/23 17:09,14,17/04/23,17:09:54,TRUE,9,Ep.9b,282,564
miranF,17/04/19 15:39,14,17/04/19,15:39:52,TRUE,1,Ep.1,315,419
miranF,17/04/19 15:47,14,17/04/19,15:47:25,TRUE,2,Ep.2,472,481
miranF,17/04/19 15:56,14,17/04/19,15:56:38,TRUE,3,Ep.3,360,596
miranF,17/04/19 16:03,14,17/04/19,16:03:24,TRUE,4,Ep.4,267,599
miranF,17/04/19 16:08,14,17/04/19,16:08:50,TRUE,5,Ep.5,376,550
miranF,17/04/19 16:16,14,17/04/19,16:16:33,TRUE,6,Ep.6,269,697
miranF,17/04/19 16:21,14,17/04/19,16:21:47,TRUE,7,Ep.7,286,339
miranF,17/04/19 16:28,14,17/04/19,16:28:07,TRUE,8,Ep.8,109,702
miranF,17/04/19 16:31,14,17/04/19,16:31:07,TRUE,9,Ep.9b,71,564
miranF,17/04/19 16:33,14,17/04/19,16:33:03,TRUE,10,Ep.10,77,587
miranF,17/04/19 16:35,14,17/04/19,16:35:00,TRUE,11,Ep.11,221,590
miranF,17/04/19 16:40,14,17/04/19,16:40:06,TRUE,12,Ep.12,452,917
Mladen Babun,17/04/19 9:47,14,17/04/19,9:47:42,TRUE,10,Ep.10,578,587
Mladen Babun,17/04/19 9:58,14,17/04/19,9:58:20,TRUE,8,Ep.8,145,702
Mladen Babun,17/04/19 10:01,14,17/04/19,10:01:07,TRUE,1,Ep.1,56,419
nenad poduje,17/04/20 18:58,14,17/04/20,18:58:08,TRUE,11,Ep.11,43,590
p2035e,17/04/17 15:59,14,17/04/17,15:59:20,TRUE,2,Ep.2,481,481
p2035e,17/04/17 16:16,14,17/04/17,16:16:17,TRUE,3,Ep.3,575,596
Petar,17/04/18 3:39,14,17/04/18,3:39:56,TRUE,9,Ep.9b,564,564
Petar,17/04/18 3:49,14,17/04/18,3:49:57,TRUE,10,Ep.10,503,587
Petar,17/04/18 4:13,14,17/04/18,4:13:41,TRUE,12,Ep.12,643,917
PeterKogej,17/04/19 20:17,14,17/04/19,20:17:52,TRUE,9,Ep.9b,331,564
PeterKogej,17/04/19 20:24,14,17/04/19,20:24:36,TRUE,10,Ep.10,86,587
PeterKogej,17/04/19 20:27,14,17/04/19,20:27:46,TRUE,12,Ep.12,387,917
Pine2,17/04/22 19:17,14,17/04/22,19:17:47,TRUE,13,Ep.13a,4,47
Pine2,17/04/22 19:18,14,17/04/22,19:18:03,TRUE,13,Ep.13b,4,817
ruzica kovacevic,17/04/23 13:23,14,17/04/23,13:23:40,TRUE,13,Ep.13b,786,817
Teja,17/04/18 12:23,14,17/04/18,12:23:04,TRUE,9,Ep.9b,142,564
Teja,17/04/18 12:27,14,17/04/18,12:27:29,TRUE,1,Ep.1,106,419
Teja,17/04/18 12:30,14,17/04/18,12:30:26,TRUE,2,Ep.2,155,481
Teja,17/04/18 12:33,14,17/04/18,12:33:41,TRUE,3,Ep.3,112,596
Teja,17/04/18 12:36,14,17/04/18,12:36:09,TRUE,4,Ep.4,60,599
Teja,17/04/18 17:24,14,17/04/18,17:24:36,TRUE,5,Ep.5,192,550
Teja,17/04/18 17:28,14,17/04/18,17:28:30,TRUE,6,Ep.6,396,697
Teja,17/04/18 17:37,14,17/04/18,17:37:08,TRUE,8,Ep.8,117,702
Teja,17/04/18 17:40,14,17/04/18,17:40:34,TRUE,9,Ep.9b,87,564
Teja,17/04/18 17:42,14,17/04/18,17:42:49,TRUE,10,Ep.10,226,587
Teja,17/04/18 17:47,14,17/04/18,17:47:26,TRUE,11,Ep.11,280,590
Teja,17/04/18 17:53,14,17/04/18,17:53:14,TRUE,12,Ep.12,107,917
tinakovac,17/04/20 16:46,14,17/04/20,16:46:33,TRUE,13,Ep.13b,43,817
varga,17/04/21 15:07,14,17/04/21,15:07:15,TRUE,4,Ep.4,458,599
varga,17/04/23 21:38,14,17/04/23,21:38:55,TRUE,9,Ep.9a,25,73
varga,17/04/23 21:40,14,17/04/23,21:40:25,TRUE,9,Ep.9b,138,564
varga,17/04/23 22:10,14,17/04/23,22:10:59,TRUE,8,Ep.8,13,702
Vedran Nikolic,17/04/22 18:39,14,17/04/22,18:39:23,TRUE,9,Ep.9b,343,564
vinka,17/04/18 21:27,14,17/04/18,21:27:29,TRUE,12,Ep.12,21,917
Vlajko,17/04/18 10:59,14,17/04/18,10:59:27,TRUE,2,Ep.2,8,481
Vlasta Svetina,17/04/18 19:37,14,17/04/18,19:37:00,TRUE,13,Ep.13b,13,817
Vlasta Svetina,17/04/18 19:40,14,17/04/18,19:40:19,TRUE,12,Ep.12,17,917
Vlasta Svetina,17/04/18 19:42,14,17/04/18,19:42:14,TRUE,11,Ep.11,10,590
Vlasta Svetina,17/04/18 20:44,14,17/04/18,20:44:23,TRUE,5,Ep.5,18,550
Vlasta Svetina,17/04/18 20:48,14,17/04/18,20:48:57,TRUE,3,Ep.3,10,596
Vlasta Svetina,17/04/18 20:52,14,17/04/18,20:52:33,TRUE,2,Ep.2,35,481
003136ec-fd3a-908e-de7e-45301e3b,17/04/13 22:57,13,17/04/13,22:57:11,FALSE,7,Ep.7,8,339
00560840-d575-3648-58b9-f561aea0,17/04/16 21:59,13,17/04/16,21:59:32,FALSE,12,Ep.12,21,917
008dbbab-3d0a-aff6-c79f-9d4423b8,17/04/11 18:51,13,17/04/11,18:51:39,FALSE,13,Ep.13b,685,817
00b3cc89-fbd3-b3f3-1cfa-aa5fefee,17/04/10 19:31,13,17/04/10,19:31:39,FALSE,13,Ep.13a,46,47
00b3cc89-fbd3-b3f3-1cfa-aa5fefee,17/04/10 19:32,13,17/04/10,19:32:52,FALSE,13,Ep.13b,639,817
00b3cc89-fbd3-b3f3-1cfa-aa5fefee,17/04/10 19:44,13,17/04/10,19:44:52,FALSE,12,Ep.12,53,917
01fbbbdf-4b0c-a738-01db-f703afb2,17/04/10 13:25,13,17/04/10,13:25:38,FALSE,13,Ep.13b,775,817
028ae560-3c66-627e-c52b-0f1336b6,17/04/11 20:05,13,17/04/11,20:05:50,FALSE,13,Ep.13a,22,47
0292c65c-376a-02c3-b096-7b262bdc,17/04/10 21:25,13,17/04/10,21:25:08,FALSE,13,Ep.13b,686,817
037820a7-a143-422c-3ebd-3553d373,17/04/10 21:28,13,17/04/10,21:28:11,FALSE,7,Ep.7,107,339
056190bf-eaca-0804-c17f-2f4dd0fb,17/04/11 18:52,13,17/04/11,18:52:34,FALSE,13,Ep.13b,209,817
079b5915-5a04-8326-c25d-c07f5a66,17/04/11 7:33,13,17/04/11,7:33:36,FALSE,13,Ep.13b,289,817
085c999b-8a90-03ed-92f8-f96209a5,17/04/10 11:13,13,17/04/10,11:13:03,FALSE,1,Ep.1,52,419
0a84077c-d3fa-56fc-803c-a863ca7e,17/04/11 13:22,13,17/04/11,13:22:26,FALSE,2,Ep.2,438,481
